Gender,School,Track,PUPCET,SHS GPA,GWAcat
1,1,1,80,92,4
1,0,1,89,91.2,4
1,0,1,91,92.25,4
1,0,1,102,91.5,3
1,0,1,87,94.13,2
1,0,1,90,90,4
0,1,1,95,93.12,3
1,0,1,93,91.75,3
1,1,1,83,89.06,3
1,1,1,80,93,3
1,0,1,101,94,2
0,1,1,97,95,3
0,1,1,79,92.94,3
0,0,1,89,91,4
1,0,1,88,94.77,3
1,1,1,96,82,3
1,0,1,118,94,3
1,1,0,82,97,3
1,0,1,93,93.3,4
1,1,1,94,93,3
0,0,1,82,93.6,3
1,1,1,89,89,3
1,1,1,82,92.38,3
0,1,1,94,91,2
1,0,1,88,91,4
0,1,1,97,88,3
0,1,1,99,94,4
1,1,1,99,92.46,3
1,1,1,89,93,4
0,1,1,109,91.61,3
0,0,0,91,93.25,3
0,1,1,102,91.18,4
0,0,0,81,96,3
1,0,1,79,94,3
1,1,1,91,91,3
0,1,1,91,91,2
1,0,1,90,82,3
0,1,1,113,90,2
0,0,1,99,93,3
0,1,0,92,94.62,3
0,0,1,82,94,3
1,1,1,89,91.78,3
0,0,1,88,82,4
0,0,1,85,95,2
0,1,1,79,95.5,4
0,0,1,104,95.67,3
0,1,1,89,93,4
0,1,1,94,94.5,3
0,0,1,76,95,3
0,0,1,79,86.5,4
0,1,1,85,90.5,3
0,0,1,90,87,4
1,1,0,82,93,4
1,0,1,82,90,3
0,1,1,86,94,3
1,0,1,79,94,4
1,0,1,101,93,2
0,1,1,94,95,2
0,1,1,95,97,3
0,0,1,93,91,4
1,0,1,86,82,4
1,1,1,82,96,3
0,1,1,94,93,2
1,1,1,83,93.5,3
0,0,1,102,82,5
1,0,1,90,91,5
0,0,1,105,89,3
0,1,1,82,89.87,3
0,0,1,85,95.5,3
1,1,1,101,93.5,3
1,1,0,83,93.5,3
0,0,0,84,92,4
0,1,1,85,93.62,3
0,0,1,84,94,4
1,0,1,107,95,4
1,0,1,83,91.4,3
0,0,1,83,93,4
0,0,0,103,93.5,2
1,0,1,88,82,4
0,0,1,82,94,4
0,1,1,86,92.38,4
0,1,0,86,92,3
0,1,1,83,91,4
1,0,1,107,90.56,3
1,1,1,89,92,3
1,0,0,86,90.72,3
0,0,1,82,90,3
0,1,1,80,95,3
0,1,1,107,95,3
0,1,1,104,95,3
0,1,1,84,96,3
1,1,1,100,88.73,3
0,1,1,89,92,3
0,0,1,104,95,3
1,1,1,81,88,4
0,1,0,80,92.68,3
0,1,1,95,94.62,2
0,0,1,106,85,3
1,1,1,86,89,4
1,1,1,62,92.5,3
0,1,1,81,91,3
1,0,1,103,83,4
1,0,1,84,88.6,4
0,0,1,84,88,3
0,0,1,104,90.6,4
1,1,1,88,93,2
1,0,1,85,89,3
1,1,1,84,91.62,3
0,1,1,114,94,3
0,1,1,88,82,3
1,1,1,81,91,4
0,1,1,96,92,2
0,1,0,47,90.81,4
1,0,1,115,93,4
0,0,1,80,91.66,3
1,1,1,89,94,4
0,1,1,86,92,3
1,0,1,93,82,4
0,1,1,97,94,2
0,1,1,81,92,4
1,0,1,83,92.31,3
0,0,0,81,95,4
1,0,1,85,94,4
0,0,1,111,93,2
0,1,1,111,93.06,3
0,1,1,83,93,4
1,0,1,105,82,4
0,1,1,82,92,3
0,1,1,83,88.25,3
0,1,1,80,88.1,3
0,1,1,82,89.75,4
0,0,1,86,92,3
1,0,1,81,92.5,3
0,1,1,83,94,3
0,0,1,86,89,3
0,1,1,84,92,4
0,0,1,84,88.35,3
0,1,1,91,89.25,3
0,0,1,106,89,4
0,0,1,84,89,5
0,1,1,83,90.38,3
0,1,1,83,88,3
0,0,1,85,82,3
0,0,1,81,93.19,3
1,1,0,104,95,3
1,0,1,82,82,3
1,1,1,91,87,5
0,0,1,102,88.5,3
1,0,1,85,85,4
0,0,1,82,86,3
0,1,1,100,89.5,2
0,0,1,99,82,2
0,0,1,93,91,3
1,1,1,100,94.31,2
1,0,1,84,93.07,3
0,1,1,96,82,2
0,0,1,98,92.66,2
0,1,1,94,92.62,2
0,1,1,80,90.12,4
1,1,1,83,92.25,3
0,1,1,87,91,2
1,0,1,96,90,3
0,0,1,92,93.32,2
0,0,1,89,91.25,3
1,1,1,90,90.88,3
1,1,1,84,93,3
1,1,1,84,95,2
0,0,1,85,94,2
0,0,1,85,95,3
0,1,1,86,90,2
0,1,1,86,90,3
1,1,1,82,91,3
0,1,1,65,92,3
1,0,1,84,95.33,3
0,1,1,96,89,2
0,1,1,81,88,3
1,1,1,95,94,4
0,0,1,114,94,3
0,0,1,93,95,4
0,1,1,80,90,3
0,1,1,115,90.5,3
1,0,1,94,92.83,2
0,0,1,83,88,3
1,1,0,81,92,4
1,1,1,96,86.5,4
1,1,1,97,93,4
0,1,1,90,94,2
0,0,1,84,93,3
0,0,1,86,96.33,3
1,0,1,96,87,3
0,0,0,82,92.5,3
1,0,0,82,90,3
0,1,1,89,88,3
1,1,1,87,91,4
0,0,1,87,82,3
1,1,1,93,90,3
0,0,1,83,92.65,3
1,1,0,88,95,2
0,0,1,84,94,3
0,0,1,84,94,3
1,1,1,79,93.68,3
0,1,1,81,91.43,4
0,1,1,81,95.25,3
0,0,1,83,91.5,3
1,0,1,90,91,3
0,1,1,81,92.5,3
0,0,1,84,93,3
1,1,1,96,90,3
0,0,1,80,96,3
0,0,1,83,94,3
